"","year","trimestre","promedio_net"
"1",1986,"Q2",26.5939998626709
"2",1986,"Q3",22.2746664683024
"3",1986,"Q4",21.3186664581299
"4",1987,"Q1",21.4200000762939
"5",1987,"Q2",22.6016661326091
"6",1987,"Q3",21.841999689738
"7",1987,"Q4",21.8409996032715
"8",1988,"Q1",21.8409996032715
"9",1988,"Q2",18.7816670735677
"10",1988,"Q3",16.122000058492
"11",1988,"Q4",12.2149998346965
"12",1989,"Q1",5.1489999294281
"13",1989,"Q2",6.32666651407878
"14",1989,"Q3",9.63733339309692
"15",1989,"Q4",12.8506666819255
"16",1990,"Q1",20.2966667811076
"17",1990,"Q2",25.4820003509521
"18",1990,"Q3",17.5450000762939
"19",1990,"Q4",7.70000012715658
"20",1991,"Q1",2.5013333161672
"21",1991,"Q2",2.40500005086263
"22",1991,"Q3",4.25933329264323
"23",1991,"Q4",7.95366684595744
"24",1992,"Q1",13.7980000178019
"25",1992,"Q2",14.6463330586751
"26",1992,"Q3",14.918999671936
"27",1992,"Q4",19.5906670888265
"28",1993,"Q1",21.574333190918
"29",1993,"Q2",18.1803340911865
"30",1993,"Q3",24.01766649882
"31",1993,"Q4",27.1533336639404
"32",1994,"Q1",24.9953333536784
"33",1994,"Q2",-0.342999935150146
"34",1994,"Q3",-20.9570007324219
"35",1994,"Q4",-24.8113339742025
"36",1995,"Q1",-13.6019999186198
"37",1995,"Q2",-13.5979995727539
"38",1995,"Q3",-13.5979995727539
"39",1995,"Q4",-11.2623332341512
"40",1996,"Q1",-12.7746667861938
"41",1996,"Q2",-19.9243338902791
"42",1996,"Q3",-22.9586664835612
"43",1996,"Q4",-24.1900005340576
"44",1997,"Q1",-24.1900005340576
"45",1997,"Q2",-20.5796670913696
"46",1997,"Q3",-3.04633322854837
"47",1997,"Q4",9.80400029818217
"48",1998,"Q1",32.5436674753825
"49",1998,"Q2",35.1190007527669
"50",1998,"Q3",32.0459995269775
"51",1998,"Q4",41.3003323872884
"52",1999,"Q1",46.8723335266113
"53",1999,"Q2",39.8463338216146
"54",1999,"Q3",39.8873329162598
"55",1999,"Q4",42.1963335673014
"56",2000,"Q1",40.58966700236
"57",2000,"Q2",39.2409998575846
"58",2000,"Q3",42.9769999186198
"59",2000,"Q4",43.0089988708496
"60",2001,"Q1",43.5256665547689
"61",2001,"Q2",37.9806671142578
"62",2001,"Q3",49.8910001118978
"63",2001,"Q4",51.3993339538574
"64",2002,"Q1",49.5476671854655
"65",2002,"Q2",33.9529997507731
"66",2002,"Q3",21.0046666463216
"67",2002,"Q4",10.7463334401449
"68",2003,"Q1",5.54566669464111
"69",2003,"Q2",11.2076667149862
"70",2003,"Q3",18.283332824707
"71",2003,"Q4",18.4813327789307
"72",2004,"Q1",1.28499984741211
"73",2004,"Q2",0.979666709899902
"74",2004,"Q3",1.72600000103315
"75",2004,"Q4",6.34633318583171
"76",2005,"Q1",6.77199983596802
"77",2005,"Q2",4.98833322525024
"78",2005,"Q3",-1.36166667938232
"79",2005,"Q4",-0.103666742642721
"80",2006,"Q1",10.3800001144409
"81",2006,"Q2",12.4479999542236
"82",2006,"Q3",6.04033295313517
"83",2006,"Q4",30.8166669209798
"84",2007,"Q1",27.3709996541341
"85",2007,"Q2",24.8526662190755
"86",2007,"Q3",49.9750010172526
"87",2007,"Q4",10.1456663906574
"88",2008,"Q1",-10.9229998191198
"89",2008,"Q2",-5.81399997075399
"90",2008,"Q3",3.10400001207987
"91",2008,"Q4",-3.4199998776118
"92",2009,"Q1",8.70433330535889
"93",2009,"Q2",18.4499994913737
"94",2009,"Q3",-14.431666692098
"95",2009,"Q4",-6.63733339309692
"96",2010,"Q1",23.4519999821981
"97",2010,"Q2",2.79899946848551
"98",2010,"Q3",22.825666586558
"99",2010,"Q4",13.2030000686646
"100",2011,"Q1",10.264666557312
"101",2011,"Q2",8.14000018437704
"102",2011,"Q3",15.9299999872843
"103",2011,"Q4",2.84266678492228
"104",2012,"Q1",-16.1186671257019
"105",2012,"Q2",-20.1749998728434
"106",2012,"Q3",-21.3953342437744
"107",2012,"Q4",-25.8096663157145
"108",2013,"Q1",-26.6233336130778
"109",2013,"Q2",-25.5170001983643
"110",2013,"Q3",-5.78366676966349
"111",2013,"Q4",-4.95600001017253
"112",2014,"Q1",-4.95499992370605
"113",2014,"Q2",14.0596663157145
"114",2014,"Q3",21.0929997762044
"115",2014,"Q4",26.5156669616699
"116",2015,"Q1",33.1636670430501
"117",2015,"Q2",25.8980000813802
"118",2015,"Q3",5.59266682465871
"119",2015,"Q4",1.78299999237061
"120",2016,"Q1",2.80833339691162
"121",2016,"Q2",11.0144999027252
